Timestamp,Age,Gender,Academic Level,Major,How often do you drink coffee per week,What is your current accumulative GPA,Do you believe caffeine consumption affects your academic performance?
3/9/2024 16:11,21,Male,Junior (Year 3-4),Engineering,Never,Above 3.5,Maybe
3/9/2024 16:11,20,Male,Junior (Year 3-4),Engineering,Never,3.1 - 3.5,Maybe
3/9/2024 16:15,20,Male,Junior (Year 3-4),Engineering,Daily,3.1 - 3.5,Yes
3/9/2024 16:20,21,Male,Senior (Year 4-5),Computer Science,Daily,2.6 - 3.0,No
3/9/2024 16:23,22,Male,Senior (Year 4-5),Engineering,Never,2.0 - 2.5,Maybe
3/9/2024 16:23,22,Male,Senior (Year 4-5),Engineering,Daily,2.6 - 3.0,Yes
3/9/2024 16:23,21,Male,Senior (Year 4-5),Engineering,Never,Above 3.5,No
3/9/2024 16:24,23,Male,Senior (Year 4-5),Engineering,Daily,2.0 - 2.5,No
3/9/2024 16:25,21,Male,Senior (Year 4-5),Engineering,Never,3.1 - 3.5,Maybe
3/9/2024 16:29,21,Male,Senior (Year 4-5),Engineering,1-2 Times,3.1 - 3.5,Maybe
3/9/2024 16:30,22,Male,Senior (Year 4-5),Engineering,Never,3.1 - 3.5,Maybe
3/9/2024 16:37,23,Male,Senior (Year 4-5),Engineering,Daily,2.6 - 3.0,Yes
3/9/2024 16:39,22,Male,Senior (Year 4-5),Engineering,1-2 Times,Above 3.5,No
3/9/2024 16:42,23,Female,Senior (Year 4-5),Engineering,3-4 Times,3.1 - 3.5,No
3/9/2024 17:07,22,Male,Senior (Year 4-5),Engineering,Daily,Above 3.5,Maybe
3/9/2024 17:09,20,Male,Junior (Year 3-4),Engineering,5-6 Times,Above 3.5,No
3/9/2024 17:15,21,Male,Junior (Year 3-4),Engineering,3-4 Times,2.6 - 3.0,Maybe
3/9/2024 17:18,20,Male,Junior (Year 3-4),Engineering,Never,2.6 - 3.0,Maybe
3/9/2024 17:19,20,Male,Junior (Year 3-4),Engineering,Never,3.1 - 3.5,No
3/9/2024 17:19,23,Female,Senior (Year 4-5),Engineering,3-4 Times,3.1 - 3.5,Maybe
3/9/2024 17:24,22,Male,Senior (Year 4-5),Engineering,Daily,Above 3.5,Yes
3/9/2024 17:34,23,Male,Senior (Year 4-5),Engineering,Never,2.0 - 2.5,Maybe
3/9/2024 17:37,22,Male,Senior (Year 4-5),Engineering,1-2 Times,2.0 - 2.5,Yes
3/9/2024 17:42,23,Female,Senior (Year 4-5),Engineering,Never,Below 2.0,No
3/9/2024 17:50,20,Male,Junior (Year 3-4),Engineering,1-2 Times,2.6 - 3.0,No
3/9/2024 17:54,21,Male,Junior (Year 3-4),Engineering,1-2 Times,3.1 - 3.5,Maybe
3/9/2024 18:02,20,Male,Junior (Year 3-4),Engineering,Daily,3.1 - 3.5,Maybe
